 ****************** Start US v. 1.92 at 2018-02-27 11:54:40 ******************
 
 US run
 energy   6.040 GeV   current 200.0 mA
 sigx    0.3950  mm   sigy   0.0099 mm   sigx1  0.0105 mr   sigy1  0.0039 mr
 period   1.800  cm   N         222      Kx      0.000      Ky      1.680
 emin    3000.0  eV   emax  55000.0 eV   ne        500
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      1.000  mm   yps     1.000 mm   nxp        50      nyp        50
 mode         4       method      4      iharm       0   
 nphi        20       nalpha     15      calpha2   2.0
 nomega      64       comega    8.0      nsigma      3
 
 e1      7982.2  eV   l1      1.553  A
 ptot   18431.2   W   pd      693.7  W/mm^2
 
 
 Flux through   1.000 mm x  1.000 mm pinhole at  0.000 mm,  0.000 mm @ 30.000 m:
 Integrated flux   1.600E+17 ph/s
 Integrated power      451.4 W
 Contributing harmonics    1 to    9
 
 Energy(eV)   Flux(ph/s/0.1%bw)   p1      p2      p3      p4
  17248.000   0.000000E+00     0.000   0.000   0.000   0.000
  17352.000   0.000000E+00     0.000   0.000   0.000   0.000
  17456.000   0.000000E+00     0.000   0.000   0.000   0.000
  17560.000   0.000000E+00     0.000   0.000   0.000   0.000
  17664.000   0.000000E+00     0.000   0.000   0.000   0.000
  17768.000   0.000000E+00     0.000   0.000   0.000   0.000
  17872.000   0.000000E+00     0.000   0.000   0.000   0.000
  17976.000   0.000000E+00     0.000   0.000   0.000   0.000
  18080.000   0.000000E+00     0.000   0.000   0.000   0.000
  18184.000   0.000000E+00     0.000   0.000   0.000   0.000
  18288.000   0.000000E+00     0.000   0.000   0.000   0.000
  18392.000   0.000000E+00     0.000   0.000   0.000   0.000
  18496.000   3.680252E+04     0.999   0.000   0.000   0.001
  18600.000   6.302409E+06     0.999   0.000   0.000   0.001
  18704.000   7.558729E+07     1.000   0.000   0.000   0.000
  18808.000   8.726185E+08     0.999   0.000   0.000   0.001
  18912.000   1.180023E+10     1.000   0.000   0.000   0.000
  19016.000   4.614307E+10     1.000   0.000   0.000   0.000
  19120.000   1.132394E+11     1.000   0.000   0.000   0.000
  19224.000   2.100430E+11     1.000   0.000   0.000   0.000
  19328.000   3.373212E+11     1.000   0.000   0.000   0.000
  19432.000   4.997830E+11     1.000   0.000   0.000   0.000
  19536.000   7.009869E+11     1.000   0.000   0.000   0.000
  19640.000   9.446748E+11     1.000   0.000   0.000   0.000
  19744.000   1.234905E+12     1.000   0.000   0.000   0.000
  19848.000   1.575536E+12     0.999   0.000   0.000   0.001
  19952.000   1.972007E+12     0.999   0.000   0.000   0.001
  20056.000   2.428841E+12     0.999   0.000   0.000   0.001
  20160.000   2.949276E+12     0.998   0.000   0.000   0.002
  20264.000   3.539455E+12     0.998   0.000   0.000   0.002
  20368.000   4.198618E+12     0.997   0.000   0.000   0.003
  20472.000   4.929021E+12     0.996   0.000   0.000   0.004
  20576.000   5.728809E+12     0.995   0.000   0.000   0.005
  20680.000   6.594791E+12     0.994   0.000   0.000   0.006
  20784.000   7.525239E+12     0.993   0.000   0.000   0.007
  20888.000   8.505144E+12     0.991   0.000   0.000   0.009
  20992.000   9.523010E+12     0.990   0.000   0.000   0.010
  21096.000   1.055929E+13     0.987   0.000   0.000   0.013
  21200.000   1.158986E+13     0.985   0.000   0.000   0.015
  21304.000   1.258512E+13     0.982   0.000   0.000   0.018
  21408.000   1.350428E+13     0.978   0.000   0.000   0.022
  21512.000   1.430690E+13     0.973   0.000   0.000   0.027
  21616.000   1.493678E+13     0.967   0.000   0.000   0.033
  21720.000   1.534337E+13     0.960   0.000   0.000   0.040
  21824.000   1.546468E+13     0.950   0.000   0.000   0.050
  21928.000   1.524387E+13     0.936   0.000   0.000   0.064
  22032.000   1.463449E+13     0.918   0.000   0.000   0.082
  22136.000   1.360532E+13     0.891   0.000   0.000   0.109
  22240.000   1.216687E+13     0.851   0.000   0.000   0.149
  22344.000   1.038610E+13     0.789   0.000   0.000   0.211
  22448.000   8.438034E+12     0.688   0.000   0.000   0.312
  22552.000   6.656892E+12     0.530   0.000   0.000   0.470
  22656.000   5.635696E+12     0.345   0.000   0.000   0.655
  22760.000   6.381064E+12     0.325   0.000   0.000   0.675
  22864.000   1.059512E+13     0.532   0.000   0.000   0.468
  22968.000   2.133447E+13     0.737   0.000   0.000   0.263
  23072.000   4.302484E+13     0.856   0.000   0.000   0.144
  23176.000   8.272633E+13     0.919   0.000   0.000   0.081
  23280.000   1.504883E+14     0.955   0.000   0.000   0.045
  23384.000   2.580864E+14     0.975   0.000   0.000   0.025
  23488.000   4.145596E+14     0.986   0.000   0.000   0.014
  23592.000   6.174691E+14     0.993   0.000   0.000   0.007
  23696.000   8.465317E+14     0.997   0.000   0.000   0.003
  23800.000   1.070208E+15     0.999   0.000   0.000   0.001
  23904.000   1.239014E+15     1.000   0.000   0.000   0.000
  24008.000   2.696445E+13     1.000   0.000   0.000   0.000
  24112.000   5.888851E+12     1.000   0.000   0.000   0.000
  24216.000   6.407225E+11     1.000   0.000   0.000   0.000
  24320.000   0.000000E+00     0.000   0.000   0.000   0.000
  24424.000   0.000000E+00     0.000   0.000   0.000   0.000
  24528.000   0.000000E+00     0.000   0.000   0.000   0.000
  24632.000   0.000000E+00     0.000   0.000   0.000   0.000
  24736.000   0.000000E+00     0.000   0.000   0.000   0.000
  24840.000   9.441367E+05     0.989   0.000   0.000   0.011
  24944.000   1.464013E+07     0.991   0.000   0.000   0.009
  25048.000   1.516059E+08     0.990   0.000   0.000   0.010
  25152.000   2.442654E+09     0.991   0.000   0.000   0.009
  25256.000   1.021262E+10     0.992   0.000   0.000   0.008
  25360.000   2.679061E+10     0.992   0.000   0.000   0.008
  25464.000   5.309024E+10     0.992   0.000   0.000   0.008
  25568.000   8.673885E+10     0.992   0.000   0.000   0.008
  25672.000   1.265066E+11     0.991   0.000   0.000   0.009
  25776.000   1.722391E+11     0.990   0.000   0.000   0.010
  25880.000   2.232185E+11     0.989   0.000   0.000   0.011
  25984.000   2.797208E+11     0.988   0.000   0.000   0.012
  26088.000   3.402566E+11     0.986   0.000   0.000   0.014
  26192.000   4.042617E+11     0.984   0.000   0.000   0.016
  26296.000   4.707134E+11     0.982   0.000   0.000   0.018
  26400.000   5.388995E+11     0.979   0.000   0.000   0.021
  26504.000   6.071843E+11     0.976   0.000   0.000   0.024
  26608.000   6.742469E+11     0.973   0.000   0.000   0.027
  26712.000   7.387442E+11     0.969   0.000   0.000   0.031
  26816.000   7.988243E+11     0.964   0.000   0.000   0.036
  26920.000   8.527846E+11     0.958   0.000   0.000   0.042
  27024.000   8.985900E+11     0.952   0.000   0.000   0.048
  27128.000   9.342392E+11     0.943   0.000   0.000   0.057
  27232.000   9.571252E+11     0.933   0.000   0.000   0.067
  27336.000   9.658342E+11     0.920   0.000   0.000   0.080
  27440.000   9.585609E+11     0.904   0.000   0.000   0.096
  27544.000   9.339413E+11     0.884   0.000   0.000   0.116
  27648.000   8.918336E+11     0.857   0.000   0.000   0.143
  27752.000   8.321324E+11     0.820   0.000   0.000   0.180
  27856.000   7.569525E+11     0.769   0.000   0.000   0.231
  27960.000   6.693514E+11     0.698   0.000   0.000   0.302
  28064.000   5.749113E+11     0.595   0.000   0.000   0.405
  28168.000   4.822007E+11     0.447   0.000   0.000   0.553
  28272.000   4.034135E+11     0.248   0.000   0.000   0.752
  28376.000   3.550994E+11     0.033   0.000   0.000   0.967
  28480.000   3.587832E+11    -0.077   0.000   0.000   0.923
  28584.000   4.429813E+11     0.025   0.000   0.000   0.975
  28688.000   6.432794E+11     0.255   0.000   0.000   0.745
  28792.000   1.006824E+12     0.474   0.000   0.000   0.526
  28896.000   1.590092E+12     0.635   0.000   0.000   0.365
  29000.000   2.461516E+12     0.744   0.000   0.000   0.256
  29104.000   3.705941E+12     0.817   0.000   0.000   0.183
  29208.000   5.424470E+12     0.866   0.000   0.000   0.134
  29312.000   7.741178E+12     0.901   0.000   0.000   0.099
  29416.000   1.078978E+13     0.926   0.000   0.000   0.074
  29520.000   1.474213E+13     0.944   0.000   0.000   0.056
  29624.000   1.978764E+13     0.957   0.000   0.000   0.043
  29728.000   2.613240E+13     0.968   0.000   0.000   0.032
  29832.000   3.402708E+13     0.976   0.000   0.000   0.024
  29936.000   4.371503E+13     0.982   0.000   0.000   0.018
  30040.000   5.550131E+13     0.987   0.000   0.000   0.013
  30144.000   6.964450E+13     0.990   0.000   0.000   0.010
  30248.000   8.647447E+13     0.993   0.000   0.000   0.007
  30352.000   1.062707E+14     0.995   0.000   0.000   0.005
  30456.000   1.292571E+14     0.997   0.000   0.000   0.003
  30560.000   1.556056E+14     0.997   0.000   0.000   0.003
  30664.000   1.852337E+14     0.997   0.000   0.000   0.003
  30768.000   2.179188E+14     0.997   0.000   0.000   0.003
  30872.000   2.528520E+14     0.995   0.000   0.000   0.005
  30976.000   2.888251E+14     0.992   0.000   0.000   0.008
  31080.000   3.236823E+14     0.989   0.000   0.000   0.011
  31184.000   3.542090E+14     0.985   0.000   0.000   0.015
  31288.000   3.761110E+14     0.981   0.000   0.000   0.019
  31392.000   3.839651E+14     0.976   0.000   0.000   0.024
  31496.000   3.719999E+14     0.973   0.000   0.000   0.027
  31600.000   3.345581E+14     0.970   0.000   0.000   0.030
  31704.000   2.671180E+14     0.969   0.000   0.000   0.031
  31808.000   1.663097E+14     0.969   0.000   0.000   0.031
  31912.000   3.116541E+13     0.969   0.000   0.000   0.031
  32016.000   1.305104E+12     0.968   0.000   0.000   0.032
  32120.000   2.286345E+11     0.961   0.000   0.000   0.039
  32224.000   3.370787E+10     0.893   0.000   0.000   0.107
  32328.000   3.808442E+10     0.878   0.000   0.000   0.122
  32432.000   4.149318E+10     0.858   0.000   0.000   0.142
  32536.000   4.391549E+10     0.833   0.000   0.000   0.167
  32640.000   4.518766E+10     0.800   0.000   0.000   0.200
  32744.000   4.536527E+10     0.759   0.000   0.000   0.241
  32848.000   4.422022E+10     0.704   0.000   0.000   0.296
  32952.000   4.207556E+10     0.631   0.000   0.000   0.369
  33056.000   3.903984E+10     0.533   0.000   0.000   0.467
  33160.000   3.542365E+10     0.402   0.000   0.000   0.598
  33264.000   3.178101E+10     0.231   0.000   0.000   0.769
  33368.000   2.881363E+10     0.026   0.000   0.000   0.974
  33472.000   2.745969E+10    -0.165   0.000   0.000   0.835
  33576.000   2.892982E+10    -0.255   0.000   0.000   0.745
  33680.000   3.472125E+10    -0.180   0.000   0.000   0.820
  33784.000   4.662576E+10     0.016   0.000   0.000   0.984
  33888.000   6.697700E+10     0.236   0.000   0.000   0.764
  33992.000   9.835242E+10     0.424   0.000   0.000   0.576
  34096.000   1.439582E+11     0.566   0.000   0.000   0.434
  34200.000   2.075702E+11     0.671   0.000   0.000   0.329
  34304.000   2.936107E+11     0.747   0.000   0.000   0.253
  34408.000   4.073531E+11     0.802   0.000   0.000   0.198
  34512.000   5.548572E+11     0.844   0.000   0.000   0.156
  34616.000   7.430497E+11     0.875   0.000   0.000   0.125
  34720.000   9.788951E+11     0.899   0.000   0.000   0.101
  34824.000   1.271476E+12     0.918   0.000   0.000   0.082
  34928.000   1.629731E+12     0.933   0.000   0.000   0.067
  35032.000   2.064113E+12     0.945   0.000   0.000   0.055
  35136.000   2.586427E+12     0.955   0.000   0.000   0.045
  35240.000   3.208486E+12     0.963   0.000   0.000   0.037
  35344.000   3.945663E+12     0.969   0.000   0.000   0.031
  35448.000   4.809824E+12     0.975   0.000   0.000   0.025
  35552.000   5.817559E+12     0.979   0.000   0.000   0.021
  35656.000   6.983019E+12     0.983   0.000   0.000   0.017
  35760.000   8.321998E+12     0.986   0.000   0.000   0.014
  35864.000   9.850425E+12     0.989   0.000   0.000   0.011
  35968.000   1.158296E+13     0.991   0.000   0.000   0.009
  36072.000   1.353684E+13     0.993   0.000   0.000   0.007
  36176.000   1.571912E+13     0.995   0.000   0.000   0.005
  36280.000   1.814328E+13     0.996   0.000   0.000   0.004
  36384.000   2.081466E+13     0.997   0.000   0.000   0.003
  36488.000   2.373568E+13     0.998   0.000   0.000   0.002
  36592.000   2.690691E+13     0.999   0.000   0.000   0.001
  36696.000   3.031053E+13     0.999   0.000   0.000   0.001
  36800.000   3.393837E+13     0.999   0.000   0.000   0.001
  36904.000   3.774728E+13     0.999   0.000   0.000   0.001
  37008.000   4.170793E+13     0.999   0.000   0.000   0.001
  37112.000   4.575807E+13     0.998   0.000   0.000   0.002
  37216.000   4.982549E+13     0.998   0.000   0.000   0.002
  37320.000   5.382549E+13     0.997   0.000   0.000   0.003
  37424.000   5.763962E+13     0.996   0.000   0.000   0.004
  37528.000   6.115406E+13     0.994   0.000   0.000   0.006
  37632.000   6.420793E+13     0.992   0.000   0.000   0.008
  37736.000   6.666358E+13     0.989   0.000   0.000   0.011
  37840.000   6.834912E+13     0.986   0.000   0.000   0.014
  37944.000   6.909953E+13     0.982   0.000   0.000   0.018
  38048.000   6.877424E+13     0.976   0.000   0.000   0.024
  38152.000   6.728705E+13     0.969   0.000   0.000   0.031
  38256.000   6.467062E+13     0.960   0.000   0.000   0.040
  38360.000   6.098840E+13     0.949   0.000   0.000   0.051
  38464.000   5.655935E+13     0.934   0.000   0.000   0.066
  38568.000   5.195684E+13     0.917   0.000   0.000   0.083
  38672.000   4.812129E+13     0.897   0.000   0.000   0.103
  38776.000   4.641495E+13     0.881   0.000   0.000   0.119
  38880.000   4.862286E+13     0.878   0.000   0.000   0.122
  38984.000   5.691020E+13     0.891   0.000   0.000   0.109
  39088.000   7.354384E+13     0.916   0.000   0.000   0.084
  39192.000   1.006866E+14     0.942   0.000   0.000   0.058
  39296.000   1.398000E+14     0.963   0.000   0.000   0.037
  39400.000   1.917363E+14     0.978   0.000   0.000   0.022
  39504.000   2.567803E+14     0.988   0.000   0.000   0.012
  39608.000   3.356360E+14     0.994   0.000   0.000   0.006
  39712.000   4.289832E+14     0.998   0.000   0.000   0.002
  39816.000   5.392353E+14     0.999   0.000   0.000   0.001
  39920.000   1.758464E+14     1.000   0.000   0.000   0.000
  40024.000   6.527483E+12     0.998   0.000   0.000   0.002
  40128.000   1.649408E+12     0.991   0.000   0.000   0.009
  40232.000   3.733924E+11     0.958   0.000   0.000   0.042
  40336.000   4.543499E+11     0.964   0.000   0.000   0.036
  40440.000   5.483740E+11     0.969   0.000   0.000   0.031
  40544.000   6.572458E+11     0.973   0.000   0.000   0.027
  40648.000   7.825361E+11     0.977   0.000   0.000   0.023
  40752.000   9.258234E+11     0.981   0.000   0.000   0.019
  40856.000   1.088672E+12     0.983   0.000   0.000   0.017
  40960.000   1.272909E+12     0.986   0.000   0.000   0.014
  41064.000   1.479914E+12     0.988   0.000   0.000   0.012
  41168.000   1.712272E+12     0.990   0.000   0.000   0.010
  41272.000   1.970244E+12     0.992   0.000   0.000   0.008
  41376.000   2.257510E+12     0.993   0.000   0.000   0.007
  41480.000   2.573850E+12     0.995   0.000   0.000   0.005
  41584.000   2.921316E+12     0.996   0.000   0.000   0.004
  41688.000   3.301388E+12     0.997   0.000   0.000   0.003
  41792.000   3.713548E+12     0.997   0.000   0.000   0.003
  41896.000   4.159521E+12     0.998   0.000   0.000   0.002
  42000.000   4.637811E+12     0.999   0.000   0.000   0.001
  42104.000   5.149820E+12     0.999   0.000   0.000   0.001
  42208.000   5.692299E+12     0.999   0.000   0.000   0.001
  42312.000   6.265838E+12     0.999   0.000   0.000   0.001
  42416.000   6.866640E+12     0.999   0.000   0.000   0.001
  42520.000   7.492023E+12     0.999   0.000   0.000   0.001
  42624.000   8.137979E+12     0.999   0.000   0.000   0.001
  42728.000   8.798416E+12     0.999   0.000   0.000   0.001
  42832.000   9.468222E+12     0.998   0.000   0.000   0.002
  42936.000   1.013635E+13     0.998   0.000   0.000   0.002
  43040.000   1.079851E+13     0.997   0.000   0.000   0.003
  43144.000   1.144303E+13     0.996   0.000   0.000   0.004
  43248.000   1.205867E+13     0.995   0.000   0.000   0.005
  43352.000   1.263440E+13     0.994   0.000   0.000   0.006
  43456.000   1.315418E+13     0.993   0.000   0.000   0.007
  43560.000   1.360751E+13     0.991   0.000   0.000   0.009
  43664.000   1.397492E+13     0.989   0.000   0.000   0.011
  43768.000   1.424550E+13     0.986   0.000   0.000   0.014
  43872.000   1.440240E+13     0.983   0.000   0.000   0.017
  43976.000   1.443141E+13     0.980   0.000   0.000   0.020
  44080.000   1.432104E+13     0.976   0.000   0.000   0.024
  44184.000   1.405785E+13     0.971   0.000   0.000   0.029
  44288.000   1.363924E+13     0.964   0.000   0.000   0.036
  44392.000   1.305814E+13     0.957   0.000   0.000   0.043
  44496.000   1.232103E+13     0.947   0.000   0.000   0.053
  44600.000   1.143874E+13     0.935   0.000   0.000   0.065
  44704.000   1.043389E+13     0.919   0.000   0.000   0.081
  44808.000   9.340214E+12     0.899   0.000   0.000   0.101
  44912.000   8.205807E+12     0.872   0.000   0.000   0.128
  45016.000   7.099369E+12     0.838   0.000   0.000   0.162
  45120.000   6.106171E+12     0.795   0.000   0.000   0.205
  45224.000   5.340022E+12     0.747   0.000   0.000   0.253
  45328.000   4.937614E+12     0.709   0.000   0.000   0.291
  45432.000   5.064943E+12     0.702   0.000   0.000   0.298
  45536.000   5.920340E+12     0.736   0.000   0.000   0.264
  45640.000   7.732299E+12     0.793   0.000   0.000   0.207
  45744.000   1.076386E+13     0.850   0.000   0.000   0.150
  45848.000   1.529128E+13     0.895   0.000   0.000   0.105
  45952.000   2.161680E+13     0.927   0.000   0.000   0.073
  46056.000   3.004348E+13     0.949   0.000   0.000   0.051
  46160.000   4.086215E+13     0.964   0.000   0.000   0.036
  46264.000   5.433146E+13     0.974   0.000   0.000   0.026
